Phrase	Transcription	Notes
{{c1::أَسْمَاؤنَا::Nasze imiona}} دَاود وَهَاجَر وَ مُحَمَّد.	{{c1::Asmāʾunā}} Dāwud wa Hājar wa Muḥammad.
{{c1::نَحْنُ::My jesteśmy}} دَاود وَهَاجَر وَمُحَمَّد.	{{c1::Naḥnu}} Dāwud wa Hājar wa Muḥammad.
مَا {{c1::اسْمُكُنَّ::wasze imię}}؟	Mā {{c1::smukunna}}?	r.ż. l.m.
{{c1::نَحْنُ::My jesteśmy}} هَاجَر وَلَيلَى وَفَاطِمَة.	{{c1::Naḥnu}} Hājar wa Laylā wa Fāṭima.
{{c1::أَسْمَاؤنَا::Nasze imiona}} هَاجَر وَلَيْلَى وَفَاطِمَة.	{{c1::Asmāʾunā}} Hājar wa Laylā wa Fāṭima.
{{c1::تَشَرَّفْنَا::To zaszczyt}}.	{{c1::Tašarrafnā}}.
{{c1::الشَّرَفُ لِي::Cała przyjemność po mojej stronie}}.	{{c1::Aš-šarafu lī}}.
{{c1::تَشَرَّفْنَا أَيْضًا::Też jesteśmy zaszczyceni}}.	{{c1::Tašarrafnā ayḍan}}.
{{c1::فُرْصَةٌ سَعِيدَة::Miło mi Cię poznać}}.	{{c1::Furṣa saʿīda}}.
{{c1::أنَا أَسْعَد::Cieszę się}}.	{{c1::Anā asʿad}}.
{{c1::فُرْصَةُ لَطِيفَة::Bardzo mi miło}}.	{{c1::Furṣa laṭīfa}}.
{{c1::شُكْرًا جَزِيلًا::Dziękuję bardzo}}.	{{c1::Šukran jazīlan}}.
{{c1::يُسْعِدُنِي لِقَاؤُك::Cieszę się, że cię widzę}}.	{{c1::Yusʿidunī liqāʾuk}}.	r.m.
{{c1::يُسْعِدُنِي لِقَاؤُكِ::Cieszę się, że cię widzę}}.	{{c1::Yusʿidunī liqāʾuki}}.	r.ż.
{{c1::يَسُرُّنِي لِقَاؤُك::Cieszę się, że cię widzę}}.	{{c1::Yasurrunī liqāʾuk}}.	r.m.
{{c1::يَسُرُّنِي لِقَاؤُكِ::Cieszę sie, że cię widzę}}.	{{c1::Yasurrunī liqāʾuki}}.	r.ż.
{{c1::يُسْعِدُنِي لِقَاؤُكُم::Cieszę się, że was widzę}}.	{{c1::Yusʿidunī liqāʾukum}}. r.m.
{{c1::شُكْرًا جِزيلًا::Dziękuję bardzo}}.	{{c1::Šukran jazīlan}}.
{{c1::شُكْرًا::Dziękuję}}.	{{c1::Šukran}}.
{{c1::مِنْ أَينَ::Skąd}} أَنْتَ؟	{{c1::Min ayna}} anta?
{{c1::مِنْ أَيِّ بَلَدٍ::Z jakiego kraju}} أَنْتَ؟	{{c1::Min ayyi baladin}} anta?
أنَا {{c1::مِنْ بُولَنْدَا::z Polski}}.	Anā {{c1::min Būlandā}}.
{{c1::مِنْ أَيِّ بَلَدٍ::Z jakiego kraju}} أَنْتِ؟	{{c1::Min ayyi baladin}} anti?	r.ż. l.poj.
{{c1::مِنْ أَيْنَ::Skąd}} أَنْتِ؟	{{c1::Min ayna}} anti?
أنَا {{c1::مِنْ مِصْر::z Egiptu}}.	Anā {{c1::min Miṣr}}.
{{c1::هَلْ::Czy}} أَنْتَ مِنْ بُولَنْدَا؟	{{c1::Hal}} anta min Būlandā?
{{c1::نَعَم::Tak}}،أنَا مِنْ بُولْنَدا.	{{c1::Naʿam}}, anā min Būlandā.
{{c1::لَا::Nie}}،أنَا {{c2::مِنْ أَمْرِيكَا::z Ameryki}}.	{{c1::Lā}}, anā {{c2::min Amrīkā}}.
لَا،أنَا {{c1::مِنْ بَلَدٍ أُخْرَى::z innego kraju}}.	Lā, anā {{c1::min baladin uḫrā}}.
لَا،{{c1::لَسْتُ مِنْ بُولَنْدَا::nie jestem z Polski}}.	Lā, {{c1::lastu min Būlandā}}.
لَا،لَسْتُ مِنْ بُولَنْدَا أنَا {{c1::مِنْ أَلْمَانْيَا::z Niemiec}}.	Lā, lastu min Būlandā, anā {{c1::min Almānyā}}.
مَا {{c1::جِنْسِيَّتُكَ::twoja narodowość}}؟	Mā {{c1::jinsiyyatuka}}?	r.m. l.poj.
مَا {{c1::جِنْسِيَّتُكِ::twoja narodowość}}؟	Mā {{c1::jinsiyyatuki}}?	r.ż. l.poj.
أنَا {{c1::بُولَنْدِي::jestem Polakiem}}.	Anā {{c1::būlandī}}.
أنَا {{c1::بُولَنْدِية::jestem Polką}}.	Anā {{c1::būlandiyya}}.
أنَا {{c1::مِصْرِي::jestem Egipcjaninem}}.	Anā {{c1::miṣrī}}.
أنَا {{c1::مِصْرِية::jestem Egipcjanką}}.	Anā {{c1::miṣriyya}}.
أنَا {{c1::مَغْرِبِي::jestem Marokańczykiem}}.	Anā {{c1::maġrībī}}.
أنَا {{c1::مَغْرِبِية::jestem Marokanką}}.	Anā {{c1::maġribiyya}}.
أنَا {{c1::سَعُودِي::jestem Saudyjczykiem}}.	Anā {{c1::saʿūdī}}.
أنَا {{c1::سَعُودِية::jestem Saudyjką}}.	Anā {{c1::saʿūdiyya}}.
أنَا {{c1::أُرْدُنِي::jestem Jordańczykiem}}.	Anā {{c1::urdunī}}.
أنَا {{c1::أُرْدُنِية::jestem Jordanką}}.	Anā {{c1::urduniyya}}.
أنَا {{c1::فِلَسْطِينِي::jestem Palestyńczykiem}}.	Anā {{c1::filasṭīnī}}.
أنَا {{c1::فِلَسْطِينِية::jestem Palestynką}}.	Anā {{c1::filasṭīniyya}}.
أنَا {{c1::لِيبِي::jestem Libijczykiem}}.	Anā {{c1::lībī}}.
أنَا {{c1::لِيبِية::jestem Libijką}}.	Anā {{c1::lībiyya}}.
أنَا {{c1::سُودَانِي::jestem Sudańczykiem}}.	Anā {{c1::sūdānī}}.
أنَا {{c1::سُودَانِية::jestem Sudanką}}.	Anā {{c1::sūdāniyya}}.
أنَا {{c1::يُونَانِي::jestem Grekiem}}.	Anā {{c1::yūnānī}}.
أنَا {{c1::يُونَانِية::jestem Greczynką}}.	Anā {{c1::yūnāniyya}}.
أنَا {{c1::جَزَائِرِي::jestem Algierczykiem}}.	Anā {{c1::jazāʾirī}}.
أنَا {{c1::جَزَائِرِية::jestem Algierką}}.	Anā {{c1::jazāʾiriyya}}.
