Phrase	Transcription	Translation	Notes
اَسَدٌ		lew
نَمِرٌ		tygrys
قِرْدٌ		małpa
دُبٌّ		niedźwiedź
ذِئْبٌ		wilk
غَزَالٌ		gazela
ذُبَّابَةٌ		mucha
عَنْكَبُوتٌ		pająk
نَسِيجُ الْعَنْكَبُوتِ		pajęczyna
شَبَكَةٌ		sieć
رَوْضَةٌ		przedszkole
خَيْطٌ		nić
نَسَّاجٌ		tkacz
حَشَرَةٌ		owad
وَحْشِىٌّ		dziki
دَقِيقٌ		cienki
لَطِيفٌ		ciekawy; zabawny
حِكَايَةٌ لَطِيفَةٌ		ciekawe opowiadanie
طِفْلٌ		dziecko
رَوْضَةُ الأَطْفَالِ		przedszkole
حَدِيقَةُ الْحَيْوَانَاتِ		ogród zoologiczny
بَيْتُ الْعَنْكَبُوتِ		dom pająka; pajęczyna
نَسَجَ		tkał
وَقَعَ		wpadł
عَيْنٌ		oko
ضَحِكَ		śmiał się
وَثَبَ		rzucił się
