Phrase	Grammar	Transcription	Translation	Notes
便	adv, conj	biàn		
并	adv, conj	bìng		
并且	conj	bìngqiě		
不管	conj	bùguǎn		
不过	conj	búguò		
不仅	conj	bùjǐn		
不论	conj	búlùn		
不然	conj	bùrán		
此外	conj	cǐwài		
从此	conj	cóngcǐ		
从而	conj	cóng'ér		
但	conj	dàn		
而	conj	ér		
否则	conj	fǒuzé		
或是	conj	huò		
及	conj	jí		
既	conj	jì		
既然	conj	jìrán		
加以	v, conj	jiāyǐ		
尽管	adv, conj	jǐnguǎn		
就是	adv, conj	jiùshì		
看来	conj	kànlái		
可	adv, conj	kě		
哪怕	conj	nǎpà		
且	adv, conj	qiě		
然而	conj	ránr		
如	conj	rú		
如果	conj	rúguǒ		
同	prep, conj	tóng		
同样	adj, conj	tóngyàng		
无论	conj	wúlùn		
以	prep, conj	yǐ		
以及	conj	yǐjí		
因此	conj	yīncǐ		
因而	conj	yīn'ér		
于是	conj	yúshì		
与	prep, conj	yǔ		
则	conj	zé		
只是	adv, conj	zhǐshì		
只要	conj	zhǐyào		
只有	adv, conj	zhǐyǒu		
