Phrase	Translation	Notes
ноль	zero
один	jeden
два	dwa
три	trzy
четыре	cztery
пять	pięć
шесть	sześć
семь	siedem
восемь	osiem
девять	dziewięć
десять	dziesięć
одиннадцать	jedenaście
двенадцать	dwanaście
тринадцать	trzynaście
четырнадцать	czternaście
пятнадцать	piętnaście
шестнадцать	szesnaście
семнадцать	siedemnaście
восемнадцать	osiemnaście
девятнадцать	dziewiętnaście
двадцать	dwadzieścia
двадцать один	dwadzieścia jeden
двадцать два	dwadzieścia dwa
двадцать три	dwadzieścia trzy
тридцать	trzydzieści
тридцать один	trzydzieści jeden
тридцать два	trzydzieści dwa
тридцать три	trzydzieści trzy
сорок	czterdzieści
сорок один	czterdzieści jeden
сорок два	czterdzieści dwa
сорок три	czterdzieści trzy
пятьдесят	pięćdziesiąt
пятьдесят один	pięćdziesiąt jeden
пятьдесят два	pięćdziesiąt dwa
пятьдесят три	pięćdziesiąt trzy
шестьдесят	sześćdziesiąt
шестьдесят один	sześćdziesiąt jeden
шестьдесят два	sześćdziesiąt dwa
шестьдесят три	sześćdziesiąt trzy
семьдесят	siedemdziesiąt
семьдесят один	siedemdziesiąt jeden
семьдесят два	siedemdziesiąt dwa
семьдесят три	siedemdziesiąt trzy
восемьдесят	osiemdziesiąt
восемьдесят один	osiemdziesiąt jeden
восемьдесят два	osiemdziesiąt dwa
восемьдесят три	osiemdziesiąt trzy
девяносто	dziewięćdziesiąt
девяносто один	dziewięćdziesiąt jeden
девяносто два	dziewięćdziesiąt dwa
девяносто три	dziewięćdziesiąt trzy
